package,authors,description,url,msc,verified
Compact Spaces,"Darmochwał, Agata",,http://fm.mizar.org/1990-1/pdf1-2/compts_1.pdf,54E45,True
Kuratowski – Zorn Lemma,"Trybulec, Wojciech A. and Bancerek, Grzegorz",,http://fm.mizar.org/1990-1/pdf1-2/orders_2.pdf,03E20,True
Operations on Subspaces in Real Linear Space,"Trybulec, Wojciech A.",,http://fm.mizar.org/1990-1/pdf1-2/rlsub_2.pdf,14N20,True
σ-Fields and Probability,"Nędzusiak, Andrzej",,http://fm.mizar.org/1990-1/pdf1-2/prob_1.pdf,28A05,True
Introduction to Categories and Functors,"Byliński, Czesław",,http://fm.mizar.org/1990-1/pdf1-2/cat_1.pdf,18A05,True
Introduction to Trees,"Bancerek, Grzegorz",,http://fm.mizar.org/1990-1/pdf1-2/trees_1.pdf,05C05,True
Zermelo's Theorem,"Nowak, Bogdan and Białecki, Sławomir",,http://fm.mizar.org/1990-1/pdf1-3/wellset1.pdf,03E20,True
Group and Field Definitions,"Białas, Józef",,http://fm.mizar.org/1990-1/pdf1-3/realset1.pdf,20A05,True
Equivalence Relations and Classes of Abstraction,"Raczkowski, Konrad and Sadowski, Paweł",,http://fm.mizar.org/1990-1/pdf1-3/eqrel_1.pdf,03E02,True
Some Properties of Real Numbers,"Trybulec, Andrzej and Byliński, Czesław",,http://fm.mizar.org/1990-1/pdf1-3/square_1.pdf,Exclude-Util,True
Connectives and Subformulae of the First Order Language,"Bancerek, Grzegorz",,http://fm.mizar.org/1990-1/pdf1-3/qc_lang2.pdf,03B10,True
Variables in Formulae of the First Order Language,"Byliński, Czesław and Bancerek, Grzegorz",,http://fm.mizar.org/1990-1/pdf1-3/qc_lang3.pdf,03B10,True
Monotone Real Sequences. Subsequences,"Kotowicz, Jarosław",,http://fm.mizar.org/1990-1/pdf1-3/seqm_3.pdf,26A48,True
Convergent Real Sequences. Upper and Lower Bound of Sets of Real Numbers,"Kotowicz, Jarosław",,http://fm.mizar.org/1990-1/pdf1-3/seq_4.pdf,40A05,True
Midpoint algebras,"Muzalewski, Michał",,http://fm.mizar.org/1990-1/pdf1-3/midsp_1.pdf,15A03,True
The Fundamental Logic Structure in Quantum Mechanics,"Sadowski, Paweł and Trybulec, Andrzej and Raczkowski, Konrad",,http://fm.mizar.org/1990-1/pdf1-3/qmax_1.pdf,81P10,True
Function Domains and Frænkel Operator,"Trybulec, Andrzej",,http://fm.mizar.org/1990-1/pdf1-3/fraenkel.pdf,03E47,True
Integers,"Trybulec, Michał J.",,http://fm.mizar.org/1990-1/pdf1-3/int_1.pdf,Exclude-Util,True
The Complex Numbers,"Byliński, Czesław",,http://fm.mizar.org/1990-1/pdf1-3/complex1.pdf,Exclude-Util,True
Ordinal Arithmetics,"Bancerek, Grzegorz",,http://fm.mizar.org/1990-1/pdf1-3/ordinal3.pdf,03E10,True
