package,msc,module,url,description,authors,verified
HOL/HOL-TPTP,68V15,HOL,https://isabelle.in.tum.de/dist/library/HOL/HOL-TPTP/index.html,,,True
HOL/HOL-Types_To_Sets,03-xx,HOL,https://isabelle.in.tum.de/dist/library/HOL/HOL-Types_To_Sets/index.html,,,True
HOL/HOL-UNITY,68M25,HOL,https://isabelle.in.tum.de/dist/library/HOL/HOL-UNITY/index.html,,,True
HOL/HOL-Unix,68N25,HOL,https://isabelle.in.tum.de/dist/library/HOL/HOL-Unix/index.html,,,True
HOL/HOL-ZF,03Exx,HOL,https://isabelle.in.tum.de/dist/library/HOL/HOL-ZF/index.html,,,True
HOL/HOL-ex,Exclude-NoDoc,HOL,https://isabelle.in.tum.de/dist/library/HOL/HOL-ex/index.html,,,True
HOL/HOLCF,68Q60,HOL,https://isabelle.in.tum.de/dist/library/HOL/HOLCF/index.html,,,True
HOL/HOLCF-FOCUS,68W27,HOL,https://isabelle.in.tum.de/dist/library/HOL/HOLCF-FOCUS/index.html,,,True
HOL/HOLCF-IMP,68N15,HOL,https://isabelle.in.tum.de/dist/library/HOL/HOLCF-IMP/index.html,,,True
HOL/HOLCF-Library,03B70,HOL,https://isabelle.in.tum.de/dist/library/HOL/HOLCF-Library/index.html,,,True
HOL/HOLCF-Tutorial,03B70,HOL,https://isabelle.in.tum.de/dist/library/HOL/HOLCF-Tutorial/index.html,,,True
HOL/HOLCF-ex,03B70,HOL,https://isabelle.in.tum.de/dist/library/HOL/HOLCF-ex/index.html,,,True
HOL/IOA,68Q45,HOL,https://isabelle.in.tum.de/dist/library/HOL/IOA/index.html,,,True
HOL/IOA-ABP,68Q45,HOL,https://isabelle.in.tum.de/dist/library/HOL/IOA-ABP/index.html,,,True
HOL/IOA-NTP,68Q45,HOL,https://isabelle.in.tum.de/dist/library/HOL/IOA-NTP/index.html,,,True
HOL/IOA-Storage,68Q45,HOL,https://isabelle.in.tum.de/dist/library/HOL/IOA-Storage/index.html,,,True
HOL/IOA-ex,68Q45,HOL,https://isabelle.in.tum.de/dist/library/HOL/IOA-ex/index.html,,,True
FOL/FOL,03B10,FOL,https://isabelle.in.tum.de/dist/library/FOL/FOL/index.html,,,True
FOL/FOL,03B10,FOL,https://isabelle.in.tum.de/dist/library/FOL/FOL/index.html,,,True
FOL/FOL-ex,03B10,FOL,https://isabelle.in.tum.de/dist/library/FOL/FOL-ex/index.html,,,True
FOL/FOL-ex,03B10,FOL,https://isabelle.in.tum.de/dist/library/FOL/FOL-ex/index.html,,,True
ZF/ZF,03Exx,ZF,https://isabelle.in.tum.de/dist/library/ZF/ZF/index.html,,,True
ZF/ZF-AC,03Exx,ZF,https://isabelle.in.tum.de/dist/library/ZF/ZF-AC/index.html,,,True
ZF/ZF-Coind,03Exx,ZF,https://isabelle.in.tum.de/dist/library/ZF/ZF-Coind/index.html,,,True
ZF/ZF-Constructible,03Exx,ZF,https://isabelle.in.tum.de/dist/library/ZF/ZF-Constructible/index.html,,,True
ZF/ZF-IMP,03Exx,ZF,https://isabelle.in.tum.de/dist/library/ZF/ZF-IMP/index.html,,,True
ZF/ZF-Induct,03Exx,ZF,https://isabelle.in.tum.de/dist/library/ZF/ZF-Induct/index.html,,,True
ZF/ZF-Resid,03Exx,ZF,https://isabelle.in.tum.de/dist/library/ZF/ZF-Resid/index.html,,,True
ZF/ZF-UNITY,03Exx,ZF,https://isabelle.in.tum.de/dist/library/ZF/ZF-UNITY/index.html,,,True
ZF/ZF-ex,03Exx,ZF,https://isabelle.in.tum.de/dist/library/ZF/ZF-ex/index.html,,,True
CCL/CCL,68Q60,CCL,https://isabelle.in.tum.de/dist/library/CCL/CCL/index.html,,,True
LCF/LCF,68Q60,LCF,https://isabelle.in.tum.de/dist/library/LCF/LCF/index.html,,,True
FOLP/FOLP,03B10,FOLP,https://isabelle.in.tum.de/dist/library/FOLP/FOLP/index.html,,,True
FOLP/FOLP-ex,03B10,FOLP,https://isabelle.in.tum.de/dist/library/FOLP/FOLP-ex/index.html,,,True
Sequents/Sequents,03-xx,Sequents,https://isabelle.in.tum.de/dist/library/Sequents/Sequents/index.html,,,True
CTT/CTT,03B38,CTT,https://isabelle.in.tum.de/dist/library/CTT/CTT/index.html,,,True
Cube/Cube,03B40,Cube,https://isabelle.in.tum.de/dist/library/Cube/Cube/index.html,,,True
